site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_en_5;;Empetrum_nigrum;0;95221028;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;;;;;0;95221030;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Empetrum nigrum;4;95221031;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vm_3;;Vaccinium_myrtillus;0;95221032;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_en_4;;Empetrum_nigrum;0;95221034;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Vaccinium vitis idea;1;95221035;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vm_5;;Vaccinium_myrtillus;0;95221036;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Calluna vulgaris;5;95221037;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Control;1;95221038;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Vaccinium vitis idea;4;95221039;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_cv_2;;Calluna_vulgaris;0;95221040;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vm_2;;Vaccinium_myrtillus;0;95221041;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vv_1;;Vaccinium_vitis-idaea;0;95221042;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_cv_1;;Calluna_vulgaris;0;95221043;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Vaccinium vitis idea;5;95221045;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Empetrum nigrum;1;95221046;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
